date,open,high,low,close,volume
2018-06-04,22.480000,22.480000,20.590000,20.590000,3100
2018-06-05,22.100000,22.100000,22.100000,22.100000,100
2018-06-06,23.240000,23.240000,19.920000,19.920000,92700
2018-06-07,23.620000,23.620000,18.970000,18.970000,52000
2018-06-08,21.820000,21.820000,18.970000,19.920000,9800
2018-06-11,19.920000,19.920000,19.450000,19.450000,700
2018-06-12,20.400000,20.400000,18.970000,18.970000,2100
2018-06-13,19.830000,19.830000,18.970000,18.970000,300
2018-06-14,19.730000,19.730000,19.450000,19.450000,200
2018-06-15,19.920000,19.920000,17.080000,18.970000,32400
2018-06-18,18.970000,18.970000,18.970000,18.970000,100
2018-06-19,19.160000,19.160000,18.500000,18.500000,555
2018-06-20,18.030000,18.030000,18.030000,18.030000,300
2018-06-21,19.160000,19.160000,18.970000,18.970000,200
2018-06-22,18.970000,20.590000,18.880000,20.590000,15200
2018-06-25,20.680000,20.680000,20.680000,20.680000,100
2018-06-27,20.300000,20.870000,20.300000,20.870000,5100
2018-06-28,19.070000,19.070000,18.970000,18.970000,300
2018-06-29,20.490000,20.490000,18.030000,18.030000,7200
2018-07-02,18.500000,18.500000,18.500000,18.500000,100
2018-07-03,19.730000,19.730000,17.080000,17.080000,3200
2018-07-04,16.130000,16.130000,14.990000,14.990000,46200
2018-07-05,15.080000,15.080000,14.140000,14.140000,14500
2018-07-06,13.280000,14.230000,12.240000,14.140000,222600
2018-07-09,15.180000,15.180000,14.230000,14.230000,6700
2018-07-10,14.330000,14.330000,14.330000,14.330000,76100
2018-07-11,14.230000,14.230000,12.240000,13.280000,83101
2018-07-12,13.760000,13.760000,13.760000,13.760000,800
2018-07-13,13.760000,13.760000,13.760000,13.760000,1300
2018-07-16,14.230000,14.230000,13.850000,13.850000,12400
2018-07-17,14.230000,14.230000,14.230000,14.230000,500
2018-07-18,14.230000,14.230000,14.230000,14.230000,1300
2018-07-19,14.230000,14.230000,14.230000,14.230000,28300
2018-07-20,15.180000,16.130000,15.180000,16.030000,4800
2018-07-23,17.080000,17.080000,15.180000,15.180000,4000
2018-07-25,16.030000,16.510000,16.030000,16.510000,500
2018-07-26,16.980000,16.980000,14.700000,14.700000,5110
2018-07-27,16.510000,16.510000,16.220000,16.220000,200
2018-07-30,16.510000,16.510000,16.510000,16.510000,100
2018-07-31,14.230000,16.790000,14.230000,16.790000,24400
2018-08-01,16.030000,16.030000,16.030000,16.030000,3100
2018-08-02,15.180000,15.560000,14.890000,14.890000,3100
2018-08-03,15.840000,15.840000,14.230000,15.460000,7400
2018-08-06,15.180000,15.180000,14.330000,15.180000,6600
2018-08-07,15.560000,15.560000,14.420000,15.080000,6200
2018-08-08,14.230000,14.890000,13.570000,14.700000,16500
2018-08-09,13.950000,14.800000,13.760000,14.520000,45000
2018-08-10,14.610000,14.610000,14.330000,14.610000,11010
2018-08-13,14.420000,14.610000,14.330000,14.420000,17800
2018-08-14,14.420000,14.700000,14.330000,14.330000,24110
2018-08-15,14.700000,14.700000,14.420000,14.420000,8200
2018-08-16,14.520000,14.610000,14.520000,14.610000,5000
2018-08-17,14.890000,14.890000,14.420000,14.420000,8100
2018-08-20,14.520000,14.700000,14.420000,14.700000,11700
2018-08-21,14.230000,14.520000,14.230000,14.520000,700
2018-08-22,14.890000,14.890000,14.230000,14.700000,3800
2018-08-23,14.700000,14.700000,14.520000,14.700000,10100
2018-08-24,15.370000,15.370000,14.700000,14.800000,1000
2018-08-27,15.080000,15.080000,14.520000,14.890000,3100
2018-08-28,14.520000,14.520000,14.230000,14.520000,13700
2018-08-29,14.230000,14.230000,14.230000,14.230000,2300
2018-08-30,14.230000,14.230000,14.230000,14.230000,1600
2018-08-31,14.230000,14.230000,14.140000,14.140000,6400
2018-09-04,14.230000,14.330000,14.230000,14.330000,10000
2018-09-05,14.140000,14.330000,14.140000,14.230000,5700
2018-09-06,14.230000,14.230000,14.230000,14.230000,2490
2018-09-07,14.230000,14.230000,14.230000,14.230000,3500
2018-09-10,13.280000,14.330000,13.280000,14.330000,5500
2018-09-11,14.230000,14.230000,14.230000,14.230000,300
2018-09-12,14.230000,14.230000,14.230000,14.230000,3000
2018-09-13,12.900000,14.140000,12.900000,13.850000,21700
2018-09-14,14.230000,14.230000,14.230000,14.230000,200
2018-09-17,13.760000,14.140000,13.760000,14.140000,3700
2018-09-18,14.040000,15.080000,13.280000,13.280000,37800
2018-09-19,14.040000,14.700000,13.570000,14.700000,7000
2018-09-20,14.700000,14.890000,13.950000,14.890000,32800
2018-09-21,14.230000,16.320000,13.950000,16.320000,72600
2018-09-24,16.790000,17.270000,16.790000,17.270000,21090
2018-09-25,17.270000,18.500000,17.270000,18.220000,67100
2018-09-26,18.030000,18.970000,18.030000,18.880000,42710
2018-09-27,18.500000,19.260000,18.400000,18.970000,25500
2018-09-28,18.880000,18.970000,18.690000,18.690000,50800
2018-10-01,18.780000,21.350000,18.500000,20.870000,103800
2018-10-02,20.870000,21.250000,19.920000,21.160000,111200
2018-10-03,20.780000,20.870000,20.780000,20.780000,6000
2018-10-04,20.780000,20.780000,19.920000,20.680000,68400
2018-10-05,20.400000,20.400000,19.350000,19.640000,2300
2018-10-08,17.550000,18.780000,17.550000,18.780000,2300
2018-10-09,20.020000,20.020000,17.550000,19.070000,27500
2018-10-10,19.160000,19.160000,18.590000,19.070000,20445
2018-10-11,18.030000,18.780000,17.550000,18.780000,11000
2018-10-12,18.500000,18.690000,18.220000,18.690000,10300
2018-10-15,18.590000,18.590000,18.500000,18.500000,2900
2018-10-16,18.400000,18.400000,18.220000,18.220000,8100
2018-10-17,18.310000,19.260000,17.550000,19.260000,18800
2018-10-18,18.400000,19.160000,18.220000,18.220000,1500
2018-10-19,18.590000,18.590000,18.220000,18.400000,9900
2018-10-22,18.970000,18.970000,18.970000,18.970000,100
2018-10-23,18.780000,20.110000,18.780000,18.780000,40845
2018-10-24,18.220000,18.220000,18.220000,18.220000,1000
2018-10-25,18.780000,18.880000,18.780000,18.880000,18300
2018-10-26,18.310000,18.500000,18.310000,18.310000,1700
2018-10-29,18.400000,18.880000,18.220000,18.220000,20800
2018-10-30,18.030000,18.500000,18.030000,18.500000,1200
