,0,1,2
VIB,0.5686274509803921,0.43137254901960786,
VCB,0.5245098039215687,0.47549019607843135,
HPG,0.5882352941176471,0.4117647058823529,
HDB,0.5049019607843137,0.4950980392156863,
VIC,0.5735294117647058,0.4264705882352941,
VJC,0.553921568627451,0.44607843137254904,
VHM,0.5931372549019608,0.4068627450980392,
BVH,0.5147058823529411,0.4852941176470588,
MSN,0.5294117647058824,0.47058823529411764,
PDR,0.6225490196078431,0.37745098039215685,
BCM,0.5980392156862745,0.4019607843137255,
SAB,0.5294117647058824,0.47058823529411764,
TPB,0.5588235294117647,0.4411764705882353,
SSI,0.5490196078431373,0.45098039215686275,
GVR,0.5294117647058824,0.47058823529411764,
VRE,0.5490196078431373,0.45098039215686275,
GAS,0.5147058823529411,0.4852941176470588,
TCB,0.5294117647058824,0.47058823529411764,
PLX,0.5343137254901961,0.46568627450980393,
FPT,0.5147058823529411,0.4852941176470588,
MBB,0.5245098039215687,0.47549019607843135,
POW,0.5098039215686274,0.49019607843137253,
ACB,0.5098039215686274,0.49019607843137253,
BID,0.5049019607843137,0.4950980392156863,
STB,0.5245098039215687,0.47549019607843135,
VNM,0.5343137254901961,0.46568627450980393,
MWG,0.5343137254901961,0.46568627450980393,
NVL,0.6274509803921569,0.37254901960784315,
VPB,0.5588235294117647,0.4411764705882353,
CTG,0.5098039215686274,0.49019607843137253,
vn30_test,0.4738562091503268,0.07009803921568628,0.4560457516339869
