date,open,high,low,close,volume
2018-06-04,8.04101,8.22376,7.94963,8.04101,52900.0
2018-06-05,8.04101,8.04101,7.67551,7.67551,201900.0
2018-06-06,7.76688,7.76688,7.67551,7.67551,187800.0
2018-06-07,7.67551,8.04101,7.67551,8.04101,144800.0
2018-06-08,7.76688,7.76688,7.58413,7.67551,136900.0
2018-06-11,7.67551,7.76688,7.67551,7.67551,60400.0
2018-06-12,7.67551,7.67551,7.49276,7.58413,112600.0
2018-06-13,7.58413,7.67551,7.58413,7.67551,33700.0
2018-06-14,7.58413,7.58413,6.94451,7.31001,182100.0
2018-06-15,7.40138,7.40138,7.31001,7.31001,95300.0
2018-06-18,7.31001,7.31001,6.57901,7.31001,106100.0
2018-06-19,7.127260000000001,7.127260000000001,6.12213,6.30488,166500.0
2018-06-20,6.67038,7.40138,6.67038,7.31001,161400.0
2018-06-21,7.31001,7.31001,6.94451,7.31001,141300.0
2018-06-22,7.03588,7.40138,6.94451,7.127260000000001,247200.0
2018-06-25,7.31001,7.40138,7.127260000000001,7.40138,231700.0
2018-06-27,7.58413,8.40651,7.58413,8.31513,295200.0
2018-06-28,8.31513,8.40651,7.94963,8.22376,59600.0
2018-06-29,8.31513,8.31513,8.04101,8.13238,64400.0
2018-07-02,8.13238,8.13238,8.04101,8.04101,30200.0
2018-07-03,7.21863,7.94963,7.21863,7.94963,32300.0
2018-07-04,7.67551,8.680629999999999,7.67551,8.31513,139400.0
2018-07-05,8.13238,8.31513,7.21863,7.76688,200300.0
2018-07-06,7.58413,7.76688,7.58413,7.76688,90000.0
2018-07-09,7.76688,7.85826,7.76688,7.85826,20500.0
2018-07-10,7.49276,7.76688,7.40138,7.76688,69100.0
2018-07-11,7.58413,7.58413,7.40138,7.58413,472100.0
2018-07-12,7.58413,7.58413,7.31001,7.31001,64000.0
2018-07-13,7.58413,7.58413,7.49276,7.49276,372000.0
2018-07-16,7.49276,7.49276,7.31001,7.49276,187000.0
2018-07-17,7.31001,7.31001,7.127260000000001,7.21863,33900.0
2018-07-18,7.49276,7.49276,7.21863,7.21863,27200.0
2018-07-19,7.127260000000001,7.21863,6.85313,7.21863,101800.0
2018-07-20,7.21863,7.94963,7.21863,7.94963,114400.0
2018-07-25,7.85826,7.85826,7.40138,7.49276,60200.0
2018-07-26,7.49276,7.76688,7.49276,7.76688,882600.0
2018-07-27,7.49276,7.76688,7.49276,7.49276,246900.0
2018-07-30,7.49276,7.49276,7.40138,7.49276,5400.0
2018-07-31,7.40138,7.49276,7.31001,7.31001,74900.0
2018-08-01,7.31001,7.49276,7.31001,7.49276,81600.0
2018-08-02,7.40138,7.40138,7.40138,7.40138,4400.0
2018-08-03,7.40138,7.49276,7.40138,7.49276,10800.0
2018-08-06,7.49276,7.49276,7.49276,7.49276,2800.0
2018-08-07,7.49276,7.58413,7.49276,7.49276,68600.0
2018-08-08,7.40138,7.49276,7.31001,7.49276,52000.0
2018-08-09,7.49276,7.49276,7.40138,7.40138,16800.0
2018-08-10,7.31001,7.40138,7.31001,7.31001,41900.0
2018-08-13,7.31001,7.40138,7.31001,7.31001,900.0
2018-08-14,7.40138,7.40138,7.31001,7.31001,25800.0
2018-08-15,7.40138,7.40138,7.31001,7.40138,235000.0
2018-08-16,7.21863,7.21863,7.21863,7.21863,105700.0
2018-08-17,7.21863,7.49276,7.21863,7.21863,60600.0
2018-08-20,7.21863,7.31001,7.127260000000001,7.21863,72300.0
2018-08-21,7.21863,7.31001,7.127260000000001,7.31001,37800.0
2018-08-22,7.21863,7.31001,7.21863,7.31001,11200.0
2018-08-23,7.31001,7.31001,7.31001,7.31001,8800.0
2018-08-24,7.31001,7.31001,7.31001,7.31001,16500.0
2018-08-27,7.31001,7.31001,7.31001,7.31001,16300.0
2018-08-28,7.21863,7.40138,7.127260000000001,7.31001,42100.0
2018-08-29,7.31001,7.31001,7.31001,7.31001,7600.0
2018-08-30,7.49276,8.22376,7.31001,7.58413,1460300.0
2018-08-31,7.58413,7.58413,7.31001,7.31001,225500.0
