time,open,high,low,close,volume
2024-06-03,24.85,24.95,24.6,24.8,16257238
2024-06-04,24.8,24.8,24.45,24.5,9735560
2024-06-05,24.75,24.75,24.3,24.35,10801981
2024-06-06,24.4,24.5,24.3,24.35,8033240
2024-06-07,24.55,24.65,24.3,24.6,5892570
2024-06-10,24.6,24.7,24.3,24.4,7679882
2024-06-11,24.4,24.45,24.1,24.15,9213280
2024-06-12,24.15,24.55,23.9,24.55,10400953
2024-06-13,24.55,24.9,24.4,24.8,11727801
2024-06-14,24.7,24.9,24.6,24.6,11049165
2024-06-17,24.6,24.6,24.25,24.55,6375848
2024-06-18,24.7,24.7,24.4,24.55,5729760
2024-06-19,24.55,24.7,24.25,24.65,7618993
2024-06-20,24.55,24.85,24.4,24.8,10178313
2024-06-21,24.85,24.85,24.5,24.55,5126289
2024-06-24,24.6,24.6,23.9,24.1,14225312
2024-06-25,24.0,24.2,23.9,24.05,6708386
2024-06-26,24.0,24.1,23.6,24.1,10145262
2024-06-27,24.0,24.1,23.8,23.95,4904878
2024-06-28,23.8,24.0,23.75,23.8,5755042
2024-07-01,23.8,23.85,23.6,23.8,3938961
2024-07-02,23.8,24.1,23.7,24.05,5701649
2024-07-03,24.15,24.4,23.95,24.25,5854818
2024-07-04,24.3,24.35,23.95,24.15,6394551
2024-07-05,24.15,24.3,24.0,24.3,6357111
2024-07-08,24.3,24.35,24.1,24.25,4959392
2024-07-09,24.15,24.4,24.05,24.3,8004908
2024-07-10,24.5,24.5,24.25,24.25,6484698
2024-07-11,24.35,24.35,24.15,24.15,5001133
2024-07-12,24.1,24.15,23.8,24.0,7160694
2024-07-15,24.0,24.05,23.9,23.95,4490958
2024-07-16,24.0,24.3,23.95,24.1,7002765
2024-07-17,24.3,25.2,24.2,24.5,28924392
2024-07-18,24.5,25.1,24.5,24.8,10670220
2024-07-19,24.8,25.3,24.65,25.1,17087130
2024-07-22,25.1,25.2,24.65,24.75,15163392
2024-07-23,24.8,24.9,24.0,24.0,15116634
2024-07-24,24.0,24.4,23.8,24.2,12261810
2024-07-25,24.15,24.15,23.8,24.05,7164193
2024-07-26,24.1,24.15,24.0,24.1,3447400
2024-07-29,24.3,24.3,24.05,24.15,4102600
2024-07-30,24.0,24.15,23.95,24.15,5489200
2024-07-31,24.2,24.55,24.1,24.55,8548700
2024-08-01,24.5,24.6,23.95,23.95,9174700
2024-08-02,23.9,24.0,23.65,23.95,13706000
2024-08-05,23.6,23.85,23.15,23.2,20086500
2024-08-06,23.5,23.65,23.25,23.5,8020900
2024-08-07,23.6,23.6,23.3,23.4,4400300
2024-08-08,23.25,23.5,23.25,23.25,3649600
2024-08-09,23.4,23.6,23.3,23.6,3006900
2024-08-12,23.6,23.8,23.3,23.8,4197300
2024-08-13,23.55,23.8,23.5,23.6,2850000
2024-08-14,23.7,23.8,23.55,23.55,3316800
2024-08-15,23.55,23.6,23.45,23.5,2655100
2024-08-16,23.5,24.0,23.5,24.0,6516200
2024-08-19,24.0,24.15,23.95,24.05,3836600
2024-08-20,24.05,24.3,24.0,24.1,5413000
2024-08-21,24.05,24.4,24.05,24.4,6556900
2024-08-22,24.5,24.55,24.3,24.4,6789100
2024-08-23,24.4,24.5,24.25,24.45,3892900
2024-08-26,24.55,24.55,24.4,24.45,4921300
2024-08-27,24.45,24.5,24.4,24.45,4154700
2024-08-28,24.5,24.55,24.4,24.5,5222500
2024-08-29,24.55,24.9,24.55,24.65,8588000
2024-08-30,24.65,24.8,24.65,24.8,4483800
2024-09-04,24.5,24.7,24.45,24.65,5632900
2024-09-05,24.65,24.7,24.45,24.5,3534700
2024-09-06,24.5,24.6,24.45,24.6,5003500
2024-09-09,24.55,24.6,24.3,24.45,4686500
2024-09-10,24.45,24.55,24.1,24.25,6133500
2024-09-11,24.15,24.25,24.1,24.15,3584100
2024-09-12,24.25,24.5,24.2,24.45,2617700
2024-09-13,24.4,24.45,24.25,24.4,2370800
2024-09-16,24.4,24.55,24.15,24.15,3712400
2024-09-17,24.15,24.5,24.1,24.5,4078100
2024-09-18,24.5,24.75,24.35,24.65,8718500
2024-09-19,24.75,24.85,24.6,24.8,5219400
2024-09-20,24.9,25.8,24.9,25.65,34310900
2024-09-23,25.7,26.0,25.6,25.65,8574100
2024-09-24,25.65,25.8,25.4,25.8,12775500
2024-09-25,26.0,26.2,25.8,26.2,23014300
2024-09-26,26.3,26.35,26.0,26.0,18172200
2024-09-27,26.0,26.4,25.9,25.9,10807400
2024-09-30,25.7,25.95,25.7,25.75,8455300
2024-10-01,25.75,26.15,25.75,25.75,10408300
2024-10-02,25.7,26.1,25.6,25.8,10112400
2024-10-03,25.95,26.3,25.7,25.7,14798400
2024-10-04,25.7,25.75,25.4,25.4,8664100
2024-10-07,25.5,25.7,25.35,25.45,6769700
2024-10-08,25.5,25.65,25.35,25.5,6522700
2024-10-09,25.6,26.25,25.55,26.25,20003200
2024-10-10,26.4,26.5,26.05,26.2,9079400
2024-10-11,26.1,26.15,25.9,26.1,6560000
2024-10-14,26.15,26.25,25.95,25.95,9026900
2024-10-15,25.95,26.2,25.8,25.85,7109800
2024-10-16,25.75,25.85,25.6,25.75,5395600
2024-10-17,25.9,26.15,25.75,26.15,9195000
2024-10-18,26.25,26.5,25.95,26.1,11490300
2024-10-21,26.0,26.1,25.8,25.8,5532000
2024-10-22,25.8,25.85,25.4,25.4,12115300
2024-10-23,25.4,25.55,25.15,25.4,7700100
2024-10-24,25.4,25.45,25.0,25.0,8926700
2024-10-25,25.0,25.1,24.85,24.9,9220400
2024-10-28,24.9,25.15,24.75,25.15,4995600
